id,start,end,commuteDuration,travelType,commuteActivity,employmentType,employmentType_og,employmentDuration,employmentLevel,salary,whyCommute,whyLiveHere,collegeInSantaCruz,collegeWhere,residenceDuration,workedInSantaCruz,whyNoWorkInSantaCruz,whatSalaryNeeded,heardOfStartupNewsHere,consideredJobsInSantaCruz,techEventsInSantaCruz,attendTechEvents,maritalStatus,children,rentOrOwn,age,commentsOrSuggestions,continuedInvolvement
70703802,2/13/14 0:23,2/13/14 0:23,90,Company bus,Work with WiFi,Design,Graphic Design,3,Independent Contractor,150000,Career progression,Lifestyle,No,No,2,No,(blank),Equivalent,A little,No,Have not attended an event,(blank),Married,No,Rent,39,(blank),No thanks
70754868,2/14/14 0:42,2/14/14 0:42,90,Company bus,Work with WiFi,Management,Project Manager,1,Team Manager,150000,Lifestyle,Lifestyle,No,No,1,No,(blank),Within 90%,A little,Yes,Santa Cruz New Tech Meetup,Monthly,Single,No,Rent,39,Hackathons awareness... People want it but may not know about it.,Reminders about tech-community events in Santa Cruz
70754910,2/13/14 23:18,2/13/14 23:18,120,Company bus,Work with WiFi,Software Developer,Software Developer,2,Team Member,250000,Salary and stock compensation,Lifestyle,No,No,2,No,(blank),Within 90%,A little,No but I will now that you mention it,Have not attended an event,(blank),Married,No,Rent,29,(blank),Information about tech job openings in Santa Cruz
70754912,2/13/14 23:41,2/13/14 23:41,90,Company bus,Sleep,Operations,Operations,2,Team Member,150000,Specific job availability,Lifestyle,No,No,1,No,(blank),Better,Some,No,Have not attended an event,(blank),Single,(blank),Rent,29,(blank),No thanks
70754913,2/14/14 0:42,2/14/14 0:42,180,Company bus,Work with WiFi,Other,Technical Writer,3,Team Member,100000,Company of interest,Community,No,No,4,No,(blank),Equivalent,A little,Yes,Have not attended an event,(blank),Married,No,Rent,34,(blank),No thanks
70788655,2/14/14 9:48,2/14/14 9:48,180,Company bus,Work with WiFi,Software Developer,Software Developer,3,Team Manager,250000,Specific job availability,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Within 80%,A little,No but I will now that you mention it,TEDx Santa Cruz,This is my first time at an event,Married,No,Own,44,(blank),Reminders about tech-community events in Santa Cruz
70791412,2/14/14 11:00,2/14/14 11:00,120,Company bus,Work with WiFi,Software Developer,Software Developer,6,Team Member,250000,Specific job availability,Lifestyle,No,No,10,Yes,Better opportunity over the hill,Better,Some,Yes,Have not attended an event,(blank),Married,No,Own,59,(blank),No thanks
70791432,2/14/14 10:58,2/14/14 10:58,150,Company bus,Work with WiFi,Management,Management,7,Team Manager,0,Company of interest,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Within 80%,A little,Yes,Have not attended an event,(blank),Married,Yes,Own,0,(blank),Information about tech job openings in Santa Cruz
70791478,2/14/14 10:57,2/14/14 10:57,150,Company bus,Work with WiFi,Operations,Operations,1,Independent Contractor,75000,Career progression,Partner,No,No,1,No,(blank),Better,Nothing,Yes,Have not attended an event,(blank),Married,No,Rent,34,(blank),Reminders about tech-community events in Santa Cruz
70837291,2/14/14 23:33,2/14/14 23:33,90,Company bus,Work with WiFi,Other,(blank),3,Team Member,0,Specific job availability,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Within 80%,Some,Yes,Have not attended an event,(blank),Married,Yes,Own,49,(blank),No thanks
70837294,2/14/14 23:40,2/14/14 23:40,45,Company bus,Personal activities with WiFi,Software Developer,Software Developer,12,Team Manager,0,Specific job availability,Lifestyle,No,No,1,No,(blank),Within 70%,Some,Yes,Have not attended an event,(blank),Married,Yes,Own,39,(blank),No thanks
70837296,2/15/14 0:06,2/15/14 0:06,90,Company bus,Work with WiFi,Software Developer,Software Developer,7,Team Manager,150000,Career progression,Lifestyle,No,No,10,Yes,Better opportunity over the hill,Equivalent,A little,No,Have not attended an event,(blank),Married,No,Rent,44,(blank),No thanks
70837325,2/14/14 23:36,2/14/14 23:36,180,Company bus,Work with WiFi,Other,(blank),4,Team Member,150000,Specific job availability,Lifestyle,No,No,12,No,(blank),Equivalent,Nothing,No,Have not attended an event,(blank),Married,No,Own,44,(blank),No thanks
70837326,2/14/14 23:39,2/14/14 23:39,45,Company bus,Work with WiFi,Engineering (other),Electrical Engineer,12,Team Member,500000,Company of interest,Lifestyle,No,No,12,No,(blank),(blank),Some,No,Have not attended an event,(blank),Married,No,Own,70,(blank),No thanks
70837328,2/14/14 23:44,2/14/14 23:44,120,Company bus,Work with WiFi,Management,Project Manager,12,Team Manager,250000,Salary and stock compensation,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Equivalent,Some,Yes,Have not attended an event,(blank),Married,Yes,Own,49,(blank),No thanks
70837329,2/15/14 0:12,2/15/14 0:12,120,Company bus,Work with WiFi,Engineering (other),Mechanical Engineering,3,Team Manager,150000,Salary and stock compensation,Lifestyle,No,No,12,No,(blank),Within 90%,Nothing,Yes,(blank),(blank),(blank),(blank),(blank),0,(blank),(blank)
71197498,2/19/14 9:53,2/19/14 9:53,90,Company bus,Work without WiFi,Business Development,Business Development,3,Director,0,Company of interest,Lifestyle,No,No,4,No,(blank),Within 80%,Nothing,No,Have not attended an event,(blank),Married,No,Own,39,(blank),No thanks
71197499,2/19/14 10:30,2/19/14 10:30,150,Company bus,Work with WiFi,Software Developer,Software Developer,10,Team Member,150000,Salary and stock compensation,Community,No,No,12,Yes,Laid off,Within 90%,Some,Yes,Have not attended an event,(blank),Married,Yes,Own,49,(blank),No thanks
71197501,2/20/14 0:02,2/20/14 0:02,45,Company bus,Work with WiFi,Software Developer,Software Developer,12,Team Member,0,Salary and stock compensation,Lifestyle,(blank),No,12,Yes,Better opportunity over the hill,Within 90%,A little,Yes,Have not attended an event,(blank),Domestic Partner,Yes,Own,65,(blank),No thanks
71197502,2/20/14 0:04,2/20/14 0:04,150,Company bus,Work with WiFi,Operations,Operations,12,Team Manager,150000,Company of interest,Lifestyle,No,No,1,No,(blank),Equivalent,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Married,Yes,Own,39,(blank),No thanks
71197503,2/20/14 0:07,2/20/14 0:07,120,Company bus,Personal activities with WiFi,Design,Graphic Design,2,Team Member,150000,Company of interest,Lifestyle,No,No,2,No,(blank),Equivalent,Nothing,No,Have not attended an event,(blank),Married,Yes,Rent,44,(blank),No thanks
71197569,2/19/14 10:13,2/19/14 10:13,90,Company bus,Work with WiFi,Software Developer,UI / UX,1,Team Member,250000,Specific job availability,Lifestyle,No,No,1,No,(blank),Equivalent,Some,Yes,Have not attended an event,(blank),Married,Yes,Own,39,(blank),No thanks
71197570,2/19/14 10:29,2/19/14 10:29,120,Company bus,Work with WiFi,Software Developer,Software Developer,5,Team Member,75000,Career progression,Family,No,No,12,Yes,Company closed,Equivalent,A little,Yes,Have not attended an event,(blank),Married,Yes,Own,54,(blank),No thanks
71197574,2/19/14 23:34,2/19/14 23:34,90,Company bus,Personal activities with WiFi,Operations,Manufacturing,2,Team Member,150000,Specific job availability,Lifestyle,No,No,2,No,(blank),Equivalent,Nothing,No,Have not attended an event,(blank),Single,No,Own,29,(blank),The results of this survey when they are made public
71197575,2/19/14 23:38,2/19/14 23:38,120,Company bus,Work with WiFi,Design,Graphic Design,1,Vice President,0,Career progression,Lifestyle,No,No,1,No,(blank),Within 80%,A little,No,Have not attended an event,(blank),Married,No,Own,49,(blank),(blank)
71197741,2/20/14 0:04,2/20/14 0:04,90,Company bus,Work with WiFi,Software Developer,Software Developer,3,Team Manager,0,Company of interest,Lifestyle,No,No,4,No,(blank),Equivalent,A little,Yes,Have not attended an event,(blank),Married,No,Rent,49,(blank),(blank)
71197742,2/20/14 0:06,2/20/14 0:06,120,Company bus,Work with WiFi,Software Developer,Software Developer,10,Team Manager,250000,Career progression,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Within 90%,Nothing,No,Have not attended an event,(blank),Married,No,Rent,34,(blank),No thanks
71307554,2/20/14 23:31,2/20/14 23:31,45,Company bus,Work with WiFi,Software Developer,Software Developer,12,Team Member,0,Salary and stock compensation,Lifestyle,(blank),No,12,No,(blank),Equivalent,A little,Yes,Have not attended an event,(blank),Married,(blank),Own,54,(blank),No thanks
71307555,2/21/14 0:04,2/21/14 0:04,120,Company bus,Work with WiFi,Software Developer,Software Developer,12,Team Manager,250000,Salary and stock compensation,Cost of living,No,No,4,No,(blank),Equivalent,Nothing,No,Have not attended an event,(blank),Married,No,Own,39,(blank),No thanks
71307980,2/20/14 23:18,2/20/14 23:18,90,Car (single occupancy),(blank),Software Developer,UI / UX,1,Team Member,250000,Specific job availability,Lifestyle,No,No,1,No,(blank),Within 80%,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Married,Yes,Rent,34,(blank),Reminders about tech-community events in Santa Cruz
71307983,2/20/14 23:34,2/20/14 23:34,300,Company bus,Personal activities with WiFi,Management,Project Manager,2,Team Manager,150000,Salary and stock compensation,Lifestyle,No,No,12,No,(blank),Within 70%,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Married,No,Own,59,weekend events after a twelve  hour day i don&apost do anything after work!,Information about tech job openings in Santa Cruz
71361832,2/22/14 2:08,2/22/14 2:08,150,Car (single occupancy),(blank),Business Development,Business Development,3,Director,250000,Specific job availability,Lifestyle,No,No,12,Yes,Company relocated,Within 90%,A lot,Yes,Have not attended an event,(blank),Married,Yes,Own,54,(blank),The results of this survey when they are made public
71381742,2/22/14 7:05,2/22/14 7:14,120,Carpool,(blank),Business Development,Business Development,7,Director,150000,Salary and stock compensation,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Within 80%,Some,No but I will now that you mention it,Have not attended an event,(blank),Married,Yes,Own,44,Frequent cross-polination with leaders investors connections in the s.Valley    Living wages    Encourage those with previous tech success to start & build their business here. Look at dynamics in Palo Alto SOMA and areas such as San Mateo (goPro!) for start-up culture & ideas.,Information about tech job openings in Santa Cruz The results of this survey when they are made public
71562600,2/25/14 7:33,2/25/14 8:27,90,Car (single occupancy),(blank),Other,Education,2,Team Member,150000,Specific job availability,Lifestyle,No,No,2,No,(blank),Within 90%,Nothing,No,Have not attended an event,(blank),Married,No,Own,44,(blank),The results of this survey when they are made public
71564043,2/25/14 8:50,2/25/14 8:53,150,Company bus,Work with WiFi,Software Developer,Software Developer,3,Team Manager,0,Company of interest,Lifestyle,No,No,4,No,(blank),Within 90%,A little,Yes,Have not attended an event,(blank),Married,No,Own,0,(blank),The results of this survey when they are made public
71575290,2/25/14 13:49,2/25/14 13:52,120,Car (single occupancy),(blank),Software Developer,Software Developer,3,Team Member,250000,Salary and stock compensation,Community,No,No,10,No,(blank),Within 80%,A little,Yes,Have not attended an event,(blank),Married,No,Rent,54,We need our own brand of innovative thinking.    We need a sense of Santa Cruzness.  The same sense that living in Santa Cruz brings us.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
71649886,2/26/14 5:25,2/26/14 5:33,45,Car (single occupancy),(blank),Software Developer,Software Developer,3,Team Member,150000,Salary and stock compensation,Lifestyle,No,No,12,Yes,Company closed,Equivalent,A lot,No,Santa Cruz New Tech Meetup,A few times a year,Married,Yes,Own,49,I commute part of the week. I work from home 3 days per week. On those days I don't have a commute. Every week I drive up to SF on Wed (1.5hr) stay overnight and drive back Thu evening (2hr). That makes for a 3.5hr commute in 5 days.    Unfortunately this survey doesn't ask how often one commutes and thus doesn't get the full picture. An important distinction in my opinion in a world where telecommuting is more and more common.    Add come questions about telecommuting to fill in the gap.,The results of this survey when they are made public No thanks
71705068,2/23/14 6:48,2/23/14 6:48,90,Car (single occupancy),(blank),Other,(blank),,(blank),0,Career progression,(blank),(blank),No,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),0,(blank),(blank)
71705070,2/26/14 12:36,2/26/14 12:36,45,Car (single occupancy),(blank),Marketing,Marketing and Social Media,1,Vice President,150000,Company of interest,Lifestyle,No,No,6,No,(blank),Within 80%,A lot,Yes,Santa Cruz New Tech Meetup,A few times a year,Married,Yes,Own,49,(blank),The results of this survey when they are made public
71705071,2/26/14 13:48,2/26/14 13:48,90,Car (single occupancy),(blank),Finance,Finance,12,C-Level Executive,250000,Salary and stock compensation,Lifestyle,No,No,6,No,(blank),Within 80%,Some,Yes,Santa Cruz New Tech Meetup,A few times a year,Married,Yes,Own,49,(blank),Information about tech job openings in Santa Cruz
71705084,2/26/14 12:32,2/26/14 12:32,150,Car (single occupancy),(blank),Management,Technology Management,12,Team Manager,150000,Specific job availability,Lifestyle,No,No,12,No,(blank),Within 90%,Some,Yes,Santa Cruz New Tech Meetup,Monthly,Married,Yes,Own,49,keep building the crucible of tech ideas. crosspollination is what grew silicon valley ,Information about tech job openings in Santa Cruz
71705085,2/26/14 12:40,2/26/14 12:40,120,Car (single occupancy),(blank),Engineering (other),Electrical Engineer,7,Team Member,250000,Specific job availability,Lifestyle,No,No,2,No,(blank),Within 70%,A lot,Yes,Santa Cruz New Tech Meetup,Weekly,Single,No,Own,59,keep fostering people talking about what we can do together  ,The results of this survey when they are made public
71738122,2/26/14 22:32,2/26/14 23:38,90,Car (single occupancy),(blank),Management,Project Manager,4,Director,250000,Specific job availability,Lifestyle,No,No,12,No,(blank),Within 90%,A little,Yes,Have not attended an event,(blank),Married,No,Own,49,(blank),Information about tech job openings in Santa Cruz Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
71743951,2/27/14 0:25,2/27/14 0:32,150,Car (single occupancy),(blank),Engineering (other),Engineering Director,1,C-Level Executive,500000,Career progression,Lifestyle,No,No,12,No,(blank),Within 90%,A lot,No,Santa Cruz New Tech Meetup,A few times a year,Married,Yes,Own,49,There are a lot of unrealistic startup ideas that further amplifies the impression of Santa Cruz as way out there. As a result I struggle to see how we can attract the right talent and money. It would require a serious look at how we want to profile the area and be diligent about who is showcased for key events. Currently the flow of viable startup ideas is a trickle. I think it would be great to do two things: Do TechRaising events in SV and bring startups (and money) to events in Santa Cruz.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
71848733,2/28/14 3:13,2/28/14 3:17,90,Carpool,(blank),Engineering (other),Electrical Engineer,12,C-Level Executive,500000,Specific job availability,Lifestyle,No,No,12,No,(blank),Equivalent,Some,No,Have not attended an event,(blank),Married,Yes,Own,49,A lot of people in Santa Cruz do not have the work ethic of the Silicon Valley. They want to surf smoke pot. etc So attracting major talent TO Santa Cruz rather than hiring from the people who are already here in Santa Cruz is not a scalable option,The results of this survey when they are made public
71860857,2/28/14 5:39,2/28/14 5:43,180,Car (single occupancy),(blank),Other,Recruiter,4,Vice President,150000,Salary and stock compensation,Lifestyle,No,No,12,Yes,Laid off,Within 70%,A little,No but I will now that you mention it,Santa Cruz New Tech Meetup,This is my first time at an event,Married,No,Own,59,(blank),Information about tech job openings in Santa Cruz
71948061,3/1/14 6:36,3/1/14 6:40,120,Car (single occupancy),(blank),Software Developer,Software Developer,5,Team Member,150000,Specific job availability,Lifestyle,No,No,6,No,(blank),Equivalent,Some,Yes,Have not attended an event,(blank),Single,No,Own,44,Business development; the community's just too small right now to compete with Silicon Valley...,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
71948523,3/1/14 6:44,3/1/14 6:49,120,Car (single occupancy),(blank),Software Developer,Software Developer,5,Team Manager,150000,Specific job availability,Lifestyle,No,No,2,No,(blank),Equivalent,A little,No,Have not attended an event,(blank),Single,Yes,Own,34,I have heard little of the tech ecosystem in the Santa Cruz County. I am aware that Seagate has a presence in Scotts valley but that is as far as my knowledge goes.,Information about tech job openings in Santa Cruz Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72018430,3/2/14 13:32,3/2/14 13:36,45,Car (single occupancy),(blank),Software Developer,Software Developer,4,Team Manager,150000,Salary and stock compensation,Cost of living,No,No,12,Yes,Company closed,Within 90%,Some,Yes,Santa Cruz New Tech Meetup,This is my first time at an event,Single,No,Rent,44,(blank),Information about tech job openings in Santa Cruz Reminders about tech-community events in Santa Cruz
72070515,3/3/14 7:59,3/3/14 8:03,120,Car (single occupancy),(blank),Sales,Sales,12,Vice President,250000,Salary and stock compensation,Lifestyle,No,No,12,No,(blank),Within 90%,A little,Yes,Santa Cruz New Tech Meetup,(blank),Married,Yes,(blank),49,(blank),(blank)
72071504,3/3/14 8:15,3/3/14 8:15,90,Car (single occupancy),(blank),Software Developer,Software Developer,4,Vice President,0,Salary and stock compensation,Lifestyle,No,No,12,No,(blank),Equivalent,Some,Yes,Santa Cruz New Tech Meetup,(blank),Married,No,(blank),59,(blank),(blank)
72071506,3/3/14 8:19,3/3/14 8:19,120,Company bus,Work with WiFi,Software Developer,UI / UX,1,Team Manager,100000,Salary and stock compensation,Lifestyle,No,No,10,Yes,Better opportunity over the hill,Within 80%,Some,Yes,Santa Cruz New Tech Meetup,(blank),Married,No,(blank),44,the community is great but projects and high tech companies need more funding and tax breaks to encourage them to locate in santa cruz. people also need to change the perception that workers here are flaky.,Information about tech job openings in Santa Cruz
72071507,3/3/14 8:21,3/3/14 8:21,45,Car (single occupancy),(blank),Software Developer,Software Developer,2,Team Member,100000,Specific job availability,Lifestyle,No,No,12,No,(blank),Within 80%,A little,Yes,Santa Cruz New Tech Meetup,(blank),Single,No,(blank),34,(blank),Information about tech job openings in Santa Cruz
72072155,3/3/14 8:37,3/3/14 8:40,180,Car (single occupancy),(blank),Other,Recruiter,1,Team Manager,250000,Salary and stock compensation,Family,No,No,6,No,(blank),Within 80%,A little,No but I will now that you mention it,Have not attended an event,(blank),Married,Yes,Own,44,(blank),Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72159925,3/4/14 8:27,3/4/14 8:31,150,Car (single occupancy),(blank),Software Developer,Software Developer,3,Team Member,150000,Specific job availability,Cost of living,No,No,12,Yes,Laid off,Within 90%,Some,Yes,Have not attended an event,(blank),Married,No,Own,54,(blank),Information about tech job openings in Santa Cruz The results of this survey when they are made public
72165525,3/4/14 9:36,3/4/14 9:42,180,Independent shuttle,Work with WiFi,Software Developer,Software Developer,3,Team Member,150000,Salary and stock compensation,Family,No,No,12,Yes,Better opportunity over the hill,Better,A lot,Yes,Tech Raising,A few times a year,Married,Yes,Own,39,For me it's basically a money calculus. I'm ambitious and currently making a good deal less than I anticipate ultimately making. Given that salaries in Santa Cruz tend to be lower than over the hill and given that lower salaries make it more difficult to get a higher salary at the next turn it's hard to justify working here. To make it really work it feels like I need to start my own company which is a really challenging risk proposition with a family to support and mortgage.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72181613,3/4/14 14:58,3/4/14 15:09,45,Car (single occupancy),(blank),Management,Senior Manager,5,Director,500000,Company of interest,Lifestyle,No,No,6,No,(blank),Within 80%,A lot,Yes,Santa Cruz New Tech Meetup ,A few times a year,Married,Yes,Rent,44,(blank),The results of this survey when they are made public
72224002,3/5/14 2:00,3/5/14 2:08,150,Car (single occupancy),(blank),Software Developer,Software Developer,3,Team Member,250000,Specific job availability,Community,No,No,12,Yes,Company closed,Within 90%,Some,Yes,Santa Cruz New Tech Meetup ,A few times a year,Married,Yes,Own,54,Silicon Valley companies (and VCs) are reluctant to invest in Santa Cruz. I started a company in Santa Cruz and the VCs laughed at us and refused to invest in Santa Cruz. Santa Cruz and people that live in Santa Cruz have a reputation for being too laid back entitled and difficult. Some of the reputation is deserved. The legacy of Seagate SCO Borland and TGV casts a could over tech companies in Santa Cruz.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72225273,3/5/14 2:12,3/5/14 2:15,90,Car (single occupancy),(blank),Software Developer,Software Developer,3,Director,500000,Salary and stock compensation,Cost of living,No,No,12,Yes,Better opportunity over the hill,Equivalent,A lot,No,Santa Cruz New Tech Meetup ,A few times a year,Married,No,Own,49,UCSC could reinvent this town.  Work with them not against them.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72225738,3/5/14 2:16,3/5/14 3:02,180,Car (single occupancy),(blank),Engineering (other),IT,12,Team Member,250000,Specific job availability,Lifestyle,No,No,12,Yes,Better opportunity over the hill,Within 80%,A lot,Yes,Have not attended an event,(blank),Married,Yes,Own,44,There seem to be a lot of developer/engineering roles on offer but there isn't much in my space which is IT/Operations/Process Management. It is the nature of the maturity of the companies that grow here many are young and small enough to not require much in the way of operational processes or the engineers perform a DevOps role and try to do things themselves. As companies mature hopefully there will be more opportunities for the foundational tech areas like IT.     It would be great to see Santa Cruz attract the satellite offices for established larger companies as well - I know startups in SF that are expanding to other offices to take advantage of engineering talent from other companies or strong universities(like that which comes out of Stanford...or Baskin?) but are overlooking Santa Cruz as an option despite all the obvious lifestyle/cultural benefits and proximity to Silicon Valley and SF. Attracting some of these to house some daily operations in Santa Cruz would increase interaction and cross-pollination with the locally grown startup companies and products.    Also as a working mom/woman in tech I will add that there would be huge benefits for employers and the community in developing programs to train the large number of underemployed women in SC who are stay at home moms or looking for part-time flexible work or trying to re-enter the workforce after childrearing years. Train these eager available resources be mindful of their family demands in offering them flexibility and project-based work that can be done remotely or in evenings and watch the productivity of the entire SC tech world accelerate. Companies in general could attract more talented women by looking for aptitudes rather than strict skillsets - drop the long list of programming languages or OS expertise required and get the people in that can learn quickly that have passion and curiosity and focus. In my experience someone who comes into a role with a true beginner's mind is the most useful trait of all - they tend to ask the best most relevant questions and have the most end-user insights; they can drive changes in process and product you might never have imagined.,Information about tech job openings in Santa Cruz The results of this survey when they are made public
72232282,3/5/14 3:17,3/5/14 3:28,90,Car (single occupancy),(blank),Operations,Operations,5,Team Member,150000,Salary and stock compensation,Cost of living,No,No,12,Yes,Better opportunity over the hill,Equivalent,Nothing,Yes,Have not attended an event,(blank),Married,Yes,Own,34,Talk with VCs more. a big reason startups are in the peninsula and SF is distance from VC offices. Get them to move to Santa Cruz and you will definitely see startup growth here.    Historically Santa Cruz has been bad to their startups and bigger tech companies. many people remember Borland Texas Instruments any of our small ISPs from the late 90s/early 2000s. Both wanted to build more and expand locally. The perception was the city and county made it so difficult to build new space that it was cheaper to move jobs.    Another thing I learned is that folks living in San Jose and that side of the hill hate driving the scary HWY 17 mountain hwy. I never understood this but i'm not also not fearful of this stretch of highway.    Getting the word out on startups on sites like hackernews valleywag venturebeat will attract attention. Especially college folks.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72272772,3/5/14 10:17,3/5/14 10:22,150,Car (single occupancy),(blank),Sales,Sales,4,Team Member,75000,Salary and stock compensation,Family,No,No,12,Yes,Better opportunity over the hill,Equivalent,Some,Yes,Santa Cruz New Tech Meetup ,A few times a year,Married,No,Own,59,(blank),No thanks
72315432,3/5/14 23:13,3/5/14 23:27,120,Car (single occupancy),(blank),Operations,Technical Support,6,Team Member,150000,Salary and stock compensation,Community,No,No,12,Yes,Company relocated,Within 70%,A little,Yes,Have not attended an event,(blank),Single,No,Own,54,I would love to work in Santa Cruz Scotts Valley or surrounding area.  But employers here seem to feel that there is no salary competition with Silicon Valley.      Parking and getting around is pretty bad in parts of da Cruz.  Turning Pacific into a walking mall would help.      Allowing taller buildings would definitely attract some high tech to downtown.  But you got that nagging parking issue.  Lousy public transport not the service the timing of buses.    Speaking of which I did a 511.org map to use the bus to my current work.  3 hours one way.  That will not get me out of my car.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72370469,3/6/14 9:51,3/6/14 9:51,120,Company bus,Work with WiFi,Engineering (other),Hardware QA,2,Team Member,75000,Specific job availability,Lifestyle,No,No,4,Yes,Better opportunity over the hill,Equivalent,A lot,Yes,Santa Cruz New Tech Meetup ,A few times a year,Domestic Partner,No,Rent,29,Focus more financial support at other local companies (rather than just advertising and trade support).,Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
