"Respondent ID","Start Date","EndDate","IP Address","Country Code","Country Name","State","gender",,"withFamily","age","howDidYouHearAboutThis","howDidYouHearAboutThis1","whatDrewYou","whatDrewYou1","howYouArrive","howYouArrive1","parkingGood","whereLive","whereLive1","wantHappenAgain","spendMoreTimeIfTrafficFree","howMuchSpendingToday","learnAboutNewBusinesses","suggestionsComments","enterRaffleFamilyCycling","likeContactAbout","Type","Platform","Agent","Referrer"
88462171,"2014-05-05 05:44:10","2014-05-05 05:44:10","63.249.68.13","US","United States","California","Male",,"I did not come with my family","41-62","Facebook| Email/Web",,"Closed road for walking| bicycling & playing| Community and family  fun",,"Car",,"Yes","I live outside of the county",,"Yes","Yes","$1-10","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462172,"2014-05-05 05:49:13","2014-05-05 05:49:13","63.249.68.13","US","United States","California","Female",,"I did not come with my family","18-40","Poster/Flier",,"Free activities| music & info booths",,"Bike",,,"Santa Cruz",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","No","have one on the west side so it can be more accessible to the ucsc population ","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462173,"2014-05-05 05:54:19","2014-05-05 05:54:19","63.249.68.13","US","United States","California","Female",,4,"18-40","Facebook",,"Community and family  fun",,"Car",,"Yes","Aptos/Rio Del Mar",,"Yes","Yes","$26-50","No","more booths!","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462174,"2014-05-05 05:56:36","2014-05-05 05:56:36","63.249.68.13","US","United States","California","Female",,2,"41-62","Newspaper Article",,"Community and family  fun",,"Bike",,,"Capitola",,"Yes","Yes","$51-100","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462175,"2014-05-05 05:58:20","2014-05-05 05:58:20","63.249.68.13","US","United States","California","Male",,1,"18-40",,"wife","Free activities| music & info booths",,"Bike",,,"Capitola",,"Yes","Yes","$51-100","Yes","more publicity","Yes","Volunteer opportunities| No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462176,"2014-05-05 06:03:42","2014-05-05 06:03:42","63.249.68.13","US","United States","California","Male",,,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Bike",,,"Live Oak",,"Yes","No","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462178,"2014-05-05 06:05:18","2014-05-05 06:05:18","63.249.68.13","US","United States","California","Female",,1,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Bike",,,"Live Oak",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462180,"2014-05-05 06:11:48","2014-05-05 06:11:48","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Capitola",,"Yes","Yes","$11-25","Yes","this is great","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462181,"2014-05-05 06:13:42","2014-05-05 06:13:42","63.249.68.13","US","United States","California",,,4,"63+","Newspaper Article| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,,,,"Yes","$11-25","Yes","keep  up the great event","No","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462182,"2014-05-05 06:15:51","2014-05-05 06:15:51","63.249.68.13","US","United States","California","Male",,3,"41-62","Word of Mouth| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$11-25","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462183,"2014-05-05 06:17:22","2014-05-05 06:17:22","63.249.68.13","US","United States","California","Male",,2,"18-40","Email/Web",,"Closed road for walking| bicycling & playing",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$26-50","Yes","love it","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462184,"2014-05-05 06:19:16","2014-05-05 06:19:16","63.249.68.13","US","United States","California","Female",,4,"18-40","I just happened upon it",,"Community and family  fun",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$11-25","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462185,"2014-05-05 06:21:49","2014-05-05 06:21:49","63.249.68.13","US","United States","California","Male",,4,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$51-100","Yes",,"No","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462186,"2014-05-05 06:26:42","2014-05-05 06:26:42","63.249.68.13","US","United States","California",,,1,"41-62",,,"Closed road for walking| bicycling & playing",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$26-50","Yes",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462187,"2014-05-05 06:35:16","2014-05-05 06:35:16","63.249.68.13","US","United States","California","Male",,"I did not come with my family","18-40","I just happened upon it",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Bike",,,"Santa Cruz",,"Yes","Yes","$1-10","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462190,"2014-05-05 06:37:01","2014-05-05 06:37:01","63.249.68.13","US","United States","California","Male",,2,"0-17","Facebook",,"Free activities| music & info booths",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$1-10","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462191,"2014-05-05 06:42:25","2014-05-05 06:42:25","63.249.68.13","US","United States","California","Female",,1,"0-17","I just happened upon it",,"Free activities| music & info booths",,"Car",,"Yes","Capitola",,"Yes","Yes","$1-10","Yes","its an amazing event","No","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462192,"2014-05-05 07:02:40","2014-05-05 07:02:40","63.249.68.13","US","United States","California","Female",,3,"41-62","I just happened upon it",,"Community and family  fun",,"Car",,"Yes","I live outside of the county",,"Yes","Yes","$100+","No",,"No","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462193,"2014-05-05 07:04:45","2014-05-05 07:04:45","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Email/Web",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Live Oak",,"Yes","Yes","$100+","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88463845,"2014-05-05 10:43:08","2014-05-05 10:47:42","71.134.239.99","US","United States","California","Male",,"I did not come with my family","18-40",,"organizer","Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes","it would be great to close east cliff to the esplanade! maybe have that closure be shorter| but it would be a great experience!","Yes","Open Streets updates and future events| Volunteer opportunities","Browser| Direct","Linux","Safari 0.0","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88474206,"2014-05-05 12:46:27","2014-05-05 12:55:22","71.198.218.174","US","United States","California","Male",,2,"41-62","Newspaper Article| Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,,"Car+Bike+Walk",,"Santa Cruz",,"Yes","Yes","$1-10","Yes","How about closing down more of the roads around the Esplanade?  Reaching there was difficult with small children on bikes because of the narrow roads| steep hills| and heavy traffic.","Yes","Open Streets updates and future events","Browser| Direct",,,"http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88474921,"2014-05-05 12:55:19","2014-05-05 12:57:55","67.180.230.212","US","United States","California","Female",,3,"18-40","Newspaper Article",,,"Something to do.","Bike",,,"Aptos/Rio Del Mar",,"No","No","I have not and will not be spending money at the Capitola Village today","No","Rio Del Mar - more room for booths and vendors.","Yes","No thanks","Browser| Direct","Mac OS X 10.7","Safari 0.0","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88563774,"2014-05-05 02:49:06","2014-05-05 02:49:06","63.249.68.13","US","United States","California","Female",,3,"41-62","Poster/Flier",,"Closed road for walking| bicycling & playing",,,"car then park then walk",,"Soquel",,"Yes","Yes","$11-25","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563775,"2014-05-05 03:06:39","2014-05-05 03:06:39","63.249.68.13","US","United States","California","Male",,"I did not come with my family","41-62","Email/Web",,"Closed road for walking| bicycling & playing",,"Bike",,,"Live Oak",,"Yes","Yes","$51-100","Yes","more open streets!","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563776,"2014-05-05 03:11:42","2014-05-05 03:11:42","63.249.68.13","US","United States","California","Male",,"I did not come with my family","63+","Newspaper Article",,"Closed road for walking| bicycling & playing| Community and family  fun",,"Bike",,,"Soquel",,"Yes","Yes","$1-10","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563777,"2014-05-05 03:16:05","2014-05-05 03:16:05","63.249.68.13","US","United States","California","Male",,"5+","18-40","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$1-10","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563779,"2014-05-05 03:17:41","2014-05-05 03:17:41","63.249.68.13","US","United States","California","Female",,1,"41-62","Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Bike",,,"Capitola",,"Yes","Yes","$11-25","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563780,"2014-05-05 03:18:57","2014-05-05 03:18:57","63.249.68.13","US","United States","California","Male",,1,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Shopping & Dining",,"Walk",,,"Capitola",,"Yes","Yes","$26-50","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563781,"2014-05-05 03:20:54","2014-05-05 03:20:54","63.249.68.13","US","United States","California","Male",,4,"0-17","I just happened upon it",,"Community and family  fun",,"Walk",,,"Aptos/Rio Del Mar",,"Yes","Yes","$26-50","No","surf competitions","Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563782,"2014-05-05 03:24:12","2014-05-05 03:24:12","63.249.68.13","US","United States","California","Male",,1,"63+","Good Times ad",,"Closed road for walking| bicycling & playing",,"Bike",,,"Live Oak",,"Yes","Yes","$1-10","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563783,"2014-05-05 03:26:06","2014-05-05 03:26:06","63.249.68.13","US","United States","California","Female",,1,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Bike",,,"Live Oak",,"Yes","Yes","$1-10","Yes",,"Yes",,"Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563784,"2014-05-05 03:32:00","2014-05-05 03:32:00","63.249.68.13","US","United States","California","Male",,"I did not come with my family","63+","Newspaper Article| Email/Web",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25",,,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563786,"2014-05-05 03:36:29","2014-05-05 03:36:29","63.249.68.13","US","United States","California","Female",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Walk",,,"Live Oak",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563788,"2014-05-05 03:38:17","2014-05-05 03:38:17","63.249.68.13","US","United States","California","Female",,1,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Live Oak",,"Yes","Yes","$1-10","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
