"Respondent ID","Start Date","EndDate","IP Address","Country Code","Country Name","State","heardOfBagBans","impressionOfBagBans",,"proposedBagBan","voteInFavor","includeFeeVoteYes","bagsFoundDecreased","trenchHasBags","carmelDoesntFee","highCostsPlasticBags","everyOtherCityFees","commentsOrSuggestions","howLongInSC","rentOrOwn","zip","childrenInHome","localMerchant","ageLower","whatYearBorn","gender","contactMeFor","Interviewers Name",,"Type","Platform","Agent","Referrer",,,
53320768,"2013-09-05 09:20:19","2013-09-05 09:20:19","70.197.6.5","US","United States","California","Yes",,,"No","Don't know","Probably yes","Makes no difference","Makes no difference","Makes no difference","Don't know/ Not applicable","Makes no difference","find an alternative source for bags","11-15 years","Own",95066,"Yes","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320770,"2013-09-05 09:26:28","2013-09-05 09:26:28","70.197.6.5","US","United States","California","Yes","They've had a positive impact.",,"No","Probably yes","Probably no","Somewhat more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"more than 20 years","Own",,"No","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320772,"2013-09-05 09:31:59","2013-09-05 09:31:59","70.197.6.5","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Own",,"No","No",68,"1948 or earlier (age 65+)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320775,"2013-09-05 09:43:54","2013-09-05 09:43:54","70.197.6.5","US","United States","California","Yes","No opinion.",,"No","Probably yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Makes no difference","Makes no difference",,"16-20 years","Own",95066,"Yes","No",18,"1995-1989 (age 18-24)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320777,"2013-09-05 09:50:40","2013-09-05 09:50:40","70.197.6.5","US","United States","California","Yes","No opinion.",,"No","Definitely no","Definitely no","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference","12000 people in city likesthe way it iscurrently","11-15 years","Own",95066,"Yes","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320778,"2013-09-05 10:05:15","2013-09-05 10:05:15","70.197.6.5","US","United States","California","Yes","They've had little to no impact.",,"No","Probably yes","Probably yes","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference","generally in favor. fee does not sway his decision.","11-15 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320780,"2013-09-05 10:22:02","2013-09-05 10:22:02","70.197.6.5","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely no","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference","people come to sv to shop because of the ban on plastic bags and the fee elsewhere.","5 years or less","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320781,"2013-09-05 10:30:43","2013-09-05 10:30:43","70.197.6.5","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Makes no difference","Makes no difference","good idea. remind people to use cloth bags.","more than 20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Male","I would like to volunteer with Save Our Shores",,"robert","suhr",,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320782,"2013-09-05 10:44:05","2013-09-05 10:44:05","70.197.6.5","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference","proportion of bag ban fee goes to enviro nonprofits","more than 20 years","Own",95066,"Yes","No",40,"1973-1969 (age 40-44)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320785,"2013-09-05 10:51:36","2013-09-05 10:51:36","70.197.6.5","US","United States","California","No",,,"No","Probably no","Probably no","Makes no difference","Somewhat more likely to support a ban","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"6-10 years","Own",95066,"Yes","Yes",50,"1963-1959 (age 50-54)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320833,"2013-09-05 07:55:05","2013-09-05 07:55:05","63.249.68.13","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320836,"2013-09-05 09:17:38","2013-09-05 09:17:38","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"5 years or less","Own",95066,"Yes","No",35,"1978-1974 (age 35-39)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320837,"2013-09-05 09:29:48","2013-09-05 09:29:48","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,,,,,,0,,"Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320838,"2013-09-05 09:38:14","2013-09-05 09:38:14","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320839,"2013-09-05 09:50:35","2013-09-05 09:50:35","63.249.68.13","US","United States","California","No",,,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Much more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"No","Yes",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320840,"2013-09-05 09:58:17","2013-09-05 09:58:17","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Own",95066,"Yes","No",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320841,"2013-09-05 10:06:11","2013-09-05 10:06:11","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"5 years or less","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Male","I would like to receive a one-time link to the community forum on this topic",,"Peter",,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320843,"2013-09-05 10:20:21","2013-09-05 10:20:21","63.249.68.13","US","United States","California","Yes","No opinion.",,"Yes","Probably no","Probably no","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"16-20 years","Own",95066,"Yes","Yes",40,"1973-1969 (age 40-44)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320845,"2013-09-05 10:31:11","2013-09-05 10:31:11","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"No","Probably yes","Probably yes","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"11-15 years","Own",95066,"Yes","No",25,"1988-1984 (age 25-29)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320848,"2013-09-05 10:35:00","2013-09-05 10:35:00","63.249.68.13","US","United States","California","Yes","No opinion.",,"No","Probably yes","Probably yes","Somewhat more likely to support a ban","Makes no difference","Makes no difference","Somewhat more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"Yes","No",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320850,"2013-09-05 10:41:53","2013-09-05 10:41:53","63.249.68.13","US","United States","California","Yes","They've had a positive impact.",,"Yes","Probably yes","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female",,,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53320852,"2013-09-05 10:57:02","2013-09-05 10:57:02","63.249.68.13","US","United States","California","No",,,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"11-15 years","Own",95066,"Yes","No",55,"1958-1954 (age 55-59)","Female","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
53325895,"2013-09-05 09:22:26","2013-09-05 09:22:26","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Rent",95066,"No","Yes",0,,"Male","I would not like to be contacted",,"Jesus","lopez",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325896,"2013-09-05 09:28:38","2013-09-05 09:28:38","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"No","Probably yes","Probably no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"5 years or less","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Male","I would not like to be contacted",,,,,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325897,"2013-09-05 09:36:03","2013-09-05 09:36:03","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Makes no difference",,,,,"Maybe some kind of marketing to let people know the real purpose & where the money&aposs going.","6-10 years","Rent",95066,"No","No",30,"1983-1979 (age 30-34)","Female","I would not like to be contacted",,"M","Wilder",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325898,"2013-09-05 09:47:53","2013-09-05 09:47:53","208.65.181.94","US","United States","California","Yes","The fee for paper bags is too high.",,,"Definitely no",,"Somewhat more likely to support a ban","Somewhat more likely to support a ban","Don't know/ Not applicable","Makes no difference","Makes no difference","do not like the the ban   most people try to. bring their own  should not be manditory ","more than 20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Female","I would like to receive updates about this topic",,"kathleen","mcmorris",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325899,"2013-09-05 09:54:56","2013-09-05 09:54:56","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Own",95066,"Yes","No",30,"1983-1979 (age 30-34)","Female","I would like to receive a one-time link to the community forum on this topic",,"shyra","horner",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325907,"2013-09-05 10:10:54","2013-09-05 10:10:54","208.65.181.94","US","United States","California","Yes","The fee for paper bags is too high.",,"No","Definitely no","Definitely no","Makes no difference","Makes no difference","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,,"morano",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325909,"2013-09-05 10:20:36","2013-09-05 10:20:36","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","why don&apost we give an incentive for companies to reuse their cardboard boxes instead of breaking them down and not reusing them?  iwould of voted yes on this years ago because of the waste and how much littering the plastic bags generate. people don&apost value things they don&apost have to pay for","16-20 years","Rent",95066,"No","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325910,"2013-09-05 10:31:12","2013-09-05 10:31:12","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"5 years or less","Rent",95066,"No","No",35,"1978-1974 (age 35-39)","Female","I would not like to be contacted",,,,,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325912,"2013-09-05 10:42:06","2013-09-05 10:42:06","208.65.181.94","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes",,,,,,"will a ban increase plastic use for garbage liners? will we use more plastic trash bags?","more than 20 years","Own",95066,"No","Yes",55,"1958-1954 (age 55-59)","Female","I would not like to be contacted",,"m","woosley",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53325913,"2013-09-05 10:52:26","2013-09-05 10:52:26","208.65.181.94","US","United States","California","Yes","They've had little to no impact.",,"Yes","Don't know","Probably yes","Somewhat more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,,"more than 20 years","Own",95066,"Yes","Yes",45,"1968-1964 (age 45-49)","Female","I would like to receive updates about this topic",,"stephanie","obrien",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326037,"2013-09-05 06:59:12","2013-09-05 06:59:12","174.240.36.108","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326043,"2013-09-05 07:31:01","2013-09-05 07:31:01","174.240.36.108","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326052,"2013-09-05 07:51:47","2013-09-05 07:51:47","174.240.36.108","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326058,"2013-09-05 09:33:16","2013-09-05 09:33:16","174.240.36.108","US","United States","California","Yes","They've had a positive impact.",,"Yes","Probably yes","Don't know","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Much more likely to support a $0.10 fee","Don't know/ Not applicable","No highschool kids with bags have to be over 18.","more than 20 years","Own",95066,"No","Yes",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,"Dayna Zimmerman",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326061,"2013-09-05 10:07:50","2013-09-05 10:07:50","174.240.36.108","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Elderly and vets should have some help, some way of getting bags to them for free some community support. ","16-20 years","Own",95066,"No","Yes",60,"1953-1949 (age 60-64)","Female","I would not like to be contacted",,,,,"Dayna Zimmerman",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326062,"2013-09-05 10:23:34","2013-09-05 10:23:34","174.240.36.108","US","United States","California","Yes","They've had a negative impact.",,"No","Definitely no","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Don't know/ Not applicable","Makes no difference","Separate the two issues. Plastic vs. paper. ","6-10 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would not like to be contacted",,,,,"Dayna Zimmerman",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326065,"2013-09-05 10:32:30","2013-09-05 10:32:30","174.240.36.108","US","United States","California","Yes","They've had a negative impact.",,"Yes",,,"Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference",,"more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326066,"2013-09-05 10:43:47","2013-09-05 10:43:47","174.240.36.108","US","United States","California","Yes","No opinion.",,"No","Probably no","Probably no","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Makes no difference","Makes no difference","Makes no difference","People shouldnt litter on the beach concerned about that reuses plastic bags for dog poop","11-15 years","Own",95066,"No","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,,,,"Dayna Zimmerman",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326069,"2013-09-05 10:49:17","2013-09-05 10:49:17","174.240.36.108","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","All in","6-10 years","Own",95066,"Yes","No",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,,,,"Dayna Zimmerman",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53326073,"2013-09-05 11:27:21","2013-09-05 11:27:21","174.240.36.108","US","United States","California","Yes","They've had little to no impact.",,"No","Probably yes","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Makes no difference","Makes no difference","Price of item should include cost of bag. Likes reusable bags very happy. ","more than 20 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,"Dayna Zimmerman",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53863039,"2013-09-10 08:25:54","2013-09-10 08:25:54","70.197.1.90","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53877584,"2013-09-10 09:28:10","2013-09-10 09:28:10","70.197.1.90","US","United States","California","Yes","The fee for paper bags is too high.",,"Yes","Definitely no","Definitely no","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Makes no difference","Makes no difference","Makes no difference","10 cent fee is unnecessary unhelpful noone knows where the money goes.paper bags are currently free and you have a choice.","16-20 years","Own",95066,"No","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53879945,"2013-09-10 09:37:15","2013-09-10 09:37:15","70.197.1.90","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"11-15 years","Own",95066,"Yes","Yes",45,"1968-1964 (age 45-49)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53881737,"2013-09-10 09:44:07","2013-09-10 09:44:07","70.197.1.90","US","United States","California","Yes","They've had a positive impact.",,"Yes","Probably yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"Yes","No",25,"1988-1984 (age 25-29)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53886462,"2013-09-10 09:54:03","2013-09-10 09:54:03","70.197.1.90","US","United States","California","Yes","They've had little to no impact.",,"No","Definitely no","Definitely no","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference",,"16-20 years","Own",95066,"Yes","No",30,"1983-1979 (age 30-34)","Male","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53886465,"2013-09-10 10:03:10","2013-09-10 10:03:10","70.197.1.90","US","United States","California","Yes","No opinion.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"6-10 years","Own",95066,"Yes","No",30,"1983-1979 (age 30-34)","Male","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53890233,"2013-09-10 10:18:18","2013-09-10 10:18:18","70.197.1.90","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Makes no difference","Much more likely to support a $0.10 fee","hispanic people immigrants need education about littering. dont have a concept of this.","more than 20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Male","I would like to receive a one-time link to the community forum on this topic",,"phil","albuquerque",,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53896123,"2013-09-10 10:36:11","2013-09-10 10:36:11","70.197.1.90","US","United States","California","Yes","They've had little to no impact.",,"No","Don't know","Don't know","Don't know/ Not applicable","Somewhat more likely to support a ban","Makes no difference","Don't know/ Not applicable","Makes no difference",,"16-20 years","Own",95066,"No","No",18,"1995-1989 (age 18-24)","Male","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
